fdc_id,description,brand_owner,data_type,food_category,calories,protein_g,fat_g,carbs_g,sugar_g,fiber_g,sodium_mg,cholesterol_mg,saturated_fat_g,protein_per_calorie
2707444,"Yogurt, soy",N/A,Survey (FNDDS),Plant-based yogurt,90.0,4.83,2.63,12.27,,0.9,30.0,0.0,0.386,0.054
2705456,Frozen yogurt sandwich,N/A,Survey (FNDDS),Ice cream and frozen dairy desserts,204.0,3.9,6.25,34.38,,0.8,192.0,10.0,2.805,0.019
2705446,"Ranch dip, yogurt based",N/A,Survey (FNDDS),"Dips, gravies, other sauces",195.0,8.48,16.09,4.13,,0.3,646.0,17.0,3.267,0.043
2705447,"Spinach dip, yogurt based",N/A,Survey (FNDDS),"Dips, gravies, other sauces",159.0,7.02,12.96,3.59,,0.3,514.0,14.0,2.734,0.044
2705449,"Vegetable dip, yogurt based",N/A,Survey (FNDDS),"Dips, gravies, other sauces",191.0,8.16,16.03,3.76,,0.3,641.0,16.0,3.232,0.043
2705444,"Chipotle dip, yogurt based",N/A,Survey (FNDDS),"Dips, gravies, other sauces",189.0,7.93,15.99,3.33,,0.0,636.0,16.0,3.219,0.042
2705453,"Frozen yogurt, chocolate",N/A,Survey (FNDDS),Ice cream and frozen dairy desserts,131.0,3.0,3.6,21.6,,2.3,63.0,13.0,2.272,0.023
2705451,"Frozen yogurt, NFS",N/A,Survey (FNDDS),Ice cream and frozen dairy desserts,127.0,3.0,3.6,21.6,,0.0,63.0,13.0,2.326,0.024
2705452,"Frozen yogurt, vanilla",N/A,Survey (FNDDS),Ice cream and frozen dairy desserts,127.0,3.0,3.6,21.6,,0.0,63.0,13.0,2.326,0.024
2705450,"Yogurt parfait, with fruit",N/A,Survey (FNDDS),"Yogurt, regular",104.0,5.25,2.18,16.08,,1.3,44.0,4.0,0.608,0.05
2707570,"Yogurt, almond milk",N/A,Survey (FNDDS),Plant-based yogurt,128.0,3.03,7.03,12.98,,1.5,49.0,0.0,0.531,0.024
2707569,"Yogurt, coconut milk",N/A,Survey (FNDDS),Plant-based yogurt,108.0,2.37,5.61,12.91,,1.2,41.0,0.0,5.094,0.022
2705445,"Onion dip, yogurt based",N/A,Survey (FNDDS),"Dips, gravies, other sauces",160.0,6.82,12.91,4.06,,0.2,507.0,14.0,2.726,0.043
2709381,Baby Toddler yogurt melts,N/A,Survey (FNDDS),Baby food: snacks and sweets,380.0,14.29,4.0,71.82,,2.3,286.0,0.0,2.236,0.038
2705457,"Frozen yogurt bar, vanilla",N/A,Survey (FNDDS),Ice cream and frozen dairy desserts,127.0,3.0,3.6,21.6,,0.0,63.0,13.0,2.326,0.024
2709356,"Baby Toddler fruit, with yogurt",N/A,Survey (FNDDS),Baby food: mixtures,76.0,1.87,1.83,13.36,,1.1,17.0,5.0,0.911,0.025
2705464,"Baby Toddler yogurt, plain",N/A,Survey (FNDDS),Baby food: yogurt,78.0,3.82,4.48,5.57,,0.0,42.0,14.0,2.32,0.049
2705465,"Baby Toddler yogurt, with fruit",N/A,Survey (FNDDS),Baby food: yogurt,98.0,3.48,4.04,11.9,,0.1,41.0,13.0,2.089,0.036
2705458,"Frozen yogurt bar, chocolate",N/A,Survey (FNDDS),Ice cream and frozen dairy desserts,131.0,3.0,3.6,21.6,,2.3,63.0,13.0,2.272,0.023
2705459,"Frozen yogurt cone, chocolate",N/A,Survey (FNDDS),Ice cream and frozen dairy desserts,142.0,3.2,3.73,23.9,,2.3,71.0,12.0,2.23,0.023
2705460,"Frozen yogurt cone, vanilla",N/A,Survey (FNDDS),Ice cream and frozen dairy desserts,139.0,3.2,3.73,23.9,,0.1,71.0,12.0,2.282,0.023
2708262,"Pretzels, hard, yogurt coated",N/A,Survey (FNDDS),Pretzels/snack mix,438.0,5.94,12.17,76.56,,1.1,441.0,0.0,9.863,0.014
